Oldja meg az alábbi feladatot!	Leiras	Megoldasok	Helyese	Tantargy	Tipus	Szint   Themes   Kep	24
Oldja meg az alábbi feladatot!	Adott az \(A = \{1; 2; 3; 4\}\) és a \(B = \{1; 2; 4; 8\}\) halmaz. Elemei felsorolásával adja meg az A  \setminus cap B halmazt vesszővel elválasztva!	1,2,4;	1;	1	3	1	24
Oldja meg az alábbi feladatot!	Adott az \(A = \{1; 2; 3; 4\}\) és a \(B = \{1; 2; 4; 8\}\) halmaz. Elemei felsorolásával adja meg az A  \setminus cup B halmazt vesszővel elválasztva!	1,2,3,4,8;	1;	1	3	1	24
Oldja meg az alábbi feladatot!	Adott az \(A = \{1; 2; 3; 4\}\) és a \(B = \{1; 2; 4; 8\}\) halmaz. Elemei felsorolásával adja meg az A  \setminus  B halmazt vesszővel elválasztva!	3;	1;	1	3	1	25
Oldja meg az alábbi feladatot!	Egy pékségben fehér kenyeret és rozskenyeret is árusítanak. Egyik reggel az első 30 vevő közül 22-en fehér kenyeret, 17-en pedig rozskenyeret vásároltak. Hányan vásároltak mindkét fajta kenyérből, ha mind a 30 vevő vett a két fajta kenyér valamelyikéből?	9;	1;	1	3	1	27
Oldja meg az alábbi feladatot!	Egy számtani sorozat első tagja 6, hetedik tagja pedig 36. Adja meg a sorozat negyedik tagját!	21;	1;	1	3	1	25
Oldja meg az alábbi feladatot!	Hány átlója van egy konvex nyolcszögnek?	20;	1;	1	3	1	26
Oldja meg az alábbi feladatot!	Hány különböző 4-gyel osztható négyjegyű szám készíthető a 2, 3, 4, 5 számjegyekből, ha egy-egy számhoz mindegyik számjegyet egyszer használjuk fel?	6;	1;	1	3	1	25
Oldja meg az alábbi feladatot!	Egy számítógépes játékban Bélának 4-szer annyi pontja van, mint Andrásnak. Hány pontja van Bélának, ha kettejüknek együtt 6500 pontjuk van?	5200;	1;	1	3	1	24
Oldja meg az alábbi feladatot!	Annának két 5-öse, négy 4-ese és két 3-asa van biológiából. Adja meg Anna biológiajegyeinek szórását!	0.707;	1;	1	3	1	22
Oldja meg az alábbi feladatot!	Egy mértani sorozat nyolcadik tagja 1020, kilencedik tagja 1023. Adja meg a sorozat hányadosát!	1000;	1;	1	3	1	27
Oldja meg az alábbi feladatot!	Egy mértani sorozat nyolcadik tagja 1020, kilencedik tagja 1023. Adja meg a sorozat első tagját!	0.1;	1;	1	3	1	24
Oldja meg az alábbi feladatot!	Két szabályos dobókockával egyszer dobunk. Mennyi annak a valószínűsége, hogy a dobott számok összege négyzetszám lesz? 	0.194;	1;	1	3	1	22
Oldja meg az alábbi feladatot!	Adott az f: R \to R, f(x) = (x3)2 - 4 függvény. Melyik számot rendeli az f függvény az x = 2,5-hez?	3.75;	1;	1	3	1	25
Oldja meg az alábbi feladatot!	Adott az f: R \to R, f(x) = (x3)2 - 4 függvény. Határozza meg az f függvény zérushelyeit vesszővel elválasztva!	1,5;	1;	1	3	1	21
Oldja meg az alábbi feladatot!	Az A és B halmazokról tudjuk, hogy A  \setminus cup \(B = \{1; 2; 3; 4; 5; 6\}\), A  \setminus cap \(B = \{1; 2\}\) és A  \setminus  \(B = \{3; 4\}\). Adja meg az A halmazt elemei felsorolásával, vesszővel elválasztva!	1,2,3,4;	1;	1	3	1	21
Oldja meg az alábbi feladatot!	Az A és B halmazokról tudjuk, hogy A  \setminus cup \(B = \{1; 2; 3; 4; 5; 6\}\), A  \setminus cap \(B = \{1; 2\}\) és A  \setminus  \(B = \{3; 4\}\). Adja meg a B halmazt elemei felsorolásával, vesszővel elválasztva!	1,2,5,6;	1;	1	3	1	24
Oldja meg az alábbi feladatot!	Egy derékszögű háromszög egyik befogója 24 cm, átfogója 25 cm hosszú. Hány cm hosszú a másik befogó?	7;	1;	1	3	1	25
Oldja meg az alábbi feladatot!	Hány darab négyjegyű, különböző számjegyekből álló (pozitív) páratlan szám alkotható az 1, 2, 3, 4 számjegyekből?	12;	1;	1	3	1	22
Oldja meg az alábbi feladatot!	Adja meg a értékét, ha tudjuk, hogy a1/2 = 4.	16;	1;	1	3	1	21
Oldja meg az alábbi feladatot!	Egy számtani sorozat nyolcadik tagja 6-tal nagyobb, mint a negyedik tagja. A sorozat hatodik tagja 6. Számítsa ki a sorozat első 6 tagjának az összegét!	13.5;	1;	1	3	1	27
Oldja meg az alábbi feladatot!	Hány csúcsa van egy hatszög alapú gúlának?	7;	1;	1	3	1	26
Oldja meg az alábbi feladatot!	Hány lapja van egy hatszög alapú gúlának?	7;	1;	1	3	1	26
Oldja meg az alábbi feladatot!	Hány éle van egy hatszög alapú gúlának?	12;	1;	1	3	1	25
Oldja meg az alábbi feladatot!	Egy szám 2-es alapú logaritmusa 6. Mennyi a szám kétszeresének a 2-es alapú logaritmusa?	7;	1;	1	3	1	21
Oldja meg az alábbi feladatot!	Egy városban a polgármester-választáson a győztes jelöltre a szavazáson résztvevők 55%-a szavazott, így 10 593 szavazatot kapott. Hányan vettek részt ebben a városban a szavazáson?	19260;	1;	1	3	1	27
Oldja meg az alábbi feladatot!	Balázs magyar irodalomból a következő jegyeket szerezte az első félévben: 1, 5, 5, 5. Számítsa ki Balázs jegyeinek átlagát!	4;	1;	1	3	1	24
Oldja meg az alábbi feladatot!	Balázs magyar irodalomból a következő jegyeket szerezte az első félévben: 1, 5, 5, 5. Számítsa ki Balázs jegyeinek szórását!	1.73;	1;	1	3	1	22
Oldja meg az alábbi feladatot!	Egy piros, egy fekete és egy fehér szabályos dobókockával egyszerre dobunk. Határozza meg annak a valószínűségét, hogy a dobás eredménye három különböző szám lesz!	0.556;	1;	1	3	1	25
Oldja meg az alábbi feladatot!	Oldja meg a valós számok halmazán az alábbi egyenletet! 18  \setminus cdot (7x + 96) + 19  \setminus cdot (5x – 56) = 1990	6;	1;	1	3	1	21
Oldja meg az alábbi feladatot!	Írja fel az 1896 és az 1956 prímtényezős felbontását, és adja meg az 1896 és az 1956 összes közös (pozitív) osztóját vesszővel elválasztva!	1,2,3,4,6,12;	1;	1	3	1	27
Oldja meg az alábbi feladatot!	Egy szabályos tízszög egy oldalának hossza 10 cm. Számítsa ki a tízszög területét!	770;	1;	1	3	1	24
Oldja meg az alábbi feladatot!	Egy szabályos sokszög átlóinak a száma 2015. Hány oldalú a sokszög?	65;	1;	1	3	1	22
Oldja meg az alábbi feladatot!	Egy építkezésre teherautókkal szállítják a homokot. Öt egyforma teherautó mindegyikének nyolcszor kellene fordulnia, hogy az összes homokot odaszállítsák. Hány fordulóval tudná odaszállítani ugyanezt a mennyiségű homokot négy ugyanekkora teherautó?	10;	1;	1	3	1	22
Oldja meg az alábbi feladatot!	Egy derékszögű háromszög két befogója 10 és 24 cm hosszú. Számítsa ki az átfogó hosszát!	26;	1;	1	3	1	21
Oldja meg az alábbi feladatot!	Egy meteorológiai állomáson november első hetében az alábbi napi hőmérsékleti maximumokat mérték (°C-ban): 9, 5, 6, 9, 6, 6, 8. Adja meg az adatok átlagát!	7;	1;	1	3	1	21
Oldja meg az alábbi feladatot!	Egy meteorológiai állomáson november első hetében az alábbi napi hőmérsékleti maximumokat mérték (°C-ban): 9, 5, 6, 9, 6, 6, 8. Adja meg az adatok terjedelmét!	4;	1;	1	3	1	25
Oldja meg az alábbi feladatot!	Egy meteorológiai állomáson november első hetében az alábbi napi hőmérsékleti maximumokat mérték (°C-ban): 9, 5, 6, 9, 6, 6, 8. Adja meg az adatok mediánját!	6;	1;	1	3	1	22
Oldja meg az alábbi feladatot!	Egy dobozban 10 piros és néhány zöld golyó van. Tudjuk, hogy ha egy golyót kihúzunk véletlenszerűen a dobozból, akkor 2/3 annak a valószínűsége, hogy a golyó piros. Hány zöld golyó van a dobozban?	5;	1;	1	3	1	24
Oldja meg az alábbi feladatot!	Egy vasúti tartálykocsi tömege üres tartállyal 23,8 tonna. Ebben a tartálykocsiban maximum 60 000 liter üzemanyagot szállíthatnak. Egy liter üzemanyag tömege 0,85 kg. Hány tonna a tartálykocsi tömege tele tartállyal?	74.8;	1;	1	3	1	24
Oldja meg az alábbi feladatot!	Egy kör egyenlete: (x - 2)2 + (y - 4)2 = 25. Adja meg a kör 1pontjának koordinátáit!	2,4;	1;	1	3	1	24
Oldja meg az alábbi feladatot!	Egy kör egyenlete: (x - 2)2 + (y - 4)2 = 25. Adja meg a kör sugarát!	5;	1;	1	3	1	25
Oldja meg az alábbi feladatot!	Egy szabályos pénzérmét háromszor feldobunk. Határozza meg annak a valószínűségét, hogy a három dobás közül pontosan egy lesz fej!	0.375;	1;	1	3	1	27
Oldja meg az alábbi feladatot!	Adott a valós számok halmazán értelmezett f függvény: f(x) = (x - 3)2 + 2. Mit rendel az f függvény az x = 3,5-hez?	2.25;	1;	1	3	1	25
